race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,22,Oscar ASKERLUND,SE,40,H,40-44M,Hällbybrunns IF,https://utmb.world/runner/691416.oscar.askerlund,661.0,10.0,7.0,1.0,20:01:53,72113.0,True,f,634.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1019,Ruben MARCO ARROYO,NO,46,H,45-49M,C.A.Benidorm,https://utmb.world/runner/5203850.ruben.marcoarroyo,682.0,10.0,9.0,3.0,10:10:03,36603.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,65,Elin ÖHMAN,SE,33,F,20-34W,Team Ironcoach,https://utmb.world/runner/1996521.elin.ohman,606.0,11.0,4.0,2.0,20:03:19,72199.0,True,f,633.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1037,Calum MARTIN,GB,40,H,40-44M,Highland Hill Runners,https://utmb.world/runner/5743129.calum.martin,624.0,11.0,10.0,3.0,10:14:06,36846.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,103,Eric HOLMSTRÖM,SE,44,H,40-44M,,https://utmb.world/runner/4445146.eric.holmstrom,569.0,12.0,8.0,2.0,20:04:41,72281.0,True,f,632.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1592,Caroline ALMKVIST,SE,30,F,20-34W,,https://utmb.world/runner/6868915.caroline.almkvist,,12.0,2.0,1.0,10:20:25,37225.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,9,Tomas NORDLÖF,SE,40,H,40-44M,TTGU Umeå,https://utmb.world/runner/936155.tomas.nordlof,738.0,13.0,9.0,3.0,20:19:34,73174.0,True,f,625.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1045,Berend BASSLEER,BE,31,H,20-34M,,https://utmb.world/runner/1651549.berend.bassleer,608.0,13.0,11.0,4.0,10:20:26,37226.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,27,Erik ENG,SE,47,H,45-49M,Åkersberga,https://utmb.world/runner/438604.erik.eng,658.0,14.0,10.0,3.0,20:19:44,73184.0,True,f,625.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1028,Simone HAASTRUP,DK,32,F,20-34W,,https://utmb.world/runner/2363645.simone.haastrup,655.0,14.0,3.0,2.0,10:41:35,38495.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,44,Andreas SKOGEN,NO,41,H,40-44M,Romerike Ultraløperklubb,https://utmb.world/runner/4484264.andreas.skogen,630.0,15.0,11.0,4.0,20:21:04,73264.0,True,f,624.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1026,Lina BROSTRÖM,SE,42,F,40-44W,untold_ movement,https://utmb.world/runner/4292403.lina.brostrom,661.0,15.0,4.0,1.0,10:43:56,38636.0,True,f,
