race_name,distance_km,elevation_gain,elevation_loss,race_date,race_url,source_file,bib,name,country,age,sex,category,club,utmb_profile_url,utmb_index,rank_scratch,rank_sex,rank_category,race_time,race_time_seconds,is_finisher,status,utmb_score
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,92,Gustav LARSEN,SE,39,H,35-39M,Team Nordic Trail Alingsås,https://utmb.world/runner/6104540.gustav.larsen,577.0,145.0,126.0,28.0,27:15:52,98152.0,True,f,466.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1175,Elias NILSSON,SE,22,H,20-34M,,https://utmb.world/runner/5192503.elias.nilsson,498.0,145.0,120.0,43.0,15:08:39,54519.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,192,Mattias GUNGNER,SE,40,H,40-44M,TNT Alingsås,https://utmb.world/runner/5510286.mattias.gungner,526.0,146.0,127.0,27.0,27:15:56,98156.0,True,f,466.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1222,Kristina GRÖNVALL,SE,39,F,35-39W,,https://utmb.world/runner/4824210.kristina.gronvall,472.0,146.0,26.0,5.0,15:09:13,54553.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,652,Mikkel Tønder HAUSKOV,DK,25,H,20-34M,,https://utmb.world/runner/6770777.mikkeltonder.hauskov,,147.0,128.0,24.0,27:16:20,98180.0,True,f,466.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,193,Ole LARSEN,DK,60,H,60-64M,nuso,https://utmb.world/runner/4215488.ole.larsen,524.0,147.0,128.0,3.0,27:16:20,98180.0,True,f,466.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1471,Fredrik JOHANSSON,SE,38,H,35-39M,,https://utmb.world/runner/6835741.fredrik.johansson,,147.0,121.0,26.0,15:09:17,54557.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1193,Jonas SVENSSON,SE,32,H,20-34M,,https://utmb.world/runner/6770447.jonas.svensson,486.0,148.0,122.0,44.0,15:09:44,54584.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,257,Tommy FURLAND,SE,47,H,45-49M,Linköpings Löparklubb,https://utmb.world/runner/4812792.tommy.furland,502.0,149.0,130.0,25.0,27:18:27,98307.0,True,f,465.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1283,Markus KLEINWORT,DE,52,H,50-54M,#Hepdukäg,https://utmb.world/runner/6770693.markus.kleinwort,439.0,149.0,123.0,11.0,15:11:50,54710.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,222,Andrzej BEDNARSKI,FR,50,H,50-54M,,https://utmb.world/runner/6152454.andrzej.bednarski,515.0,150.0,131.0,20.0,27:18:31,98311.0,True,f,465.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1337,Tobias JADBERG,SE,34,H,20-34M,,https://utmb.world/runner/6263028.tobias.jadberg,415.0,150.0,124.0,45.0,15:13:19,54799.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,781,Mandus ANDERSSON,SE,33,H,20-34M,Mjäryd Elite,https://utmb.world/runner/4823498.mandus.andersson,,151.0,132.0,25.0,27:19:54,98394.0,True,f,465.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,349,Andreas FABIAN,SE,40,H,40-44M,Kristianstad triathlon klubb,https://utmb.world/runner/5880467.andreas.fabian,470.0,151.0,132.0,28.0,27:19:54,98394.0,True,f,465.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,389,Stefan VEDENBRANT,SE,39,H,35-39M,Team Fika Running Club,https://utmb.world/runner/4301461.stefan.vedenbrant,458.0,151.0,132.0,29.0,27:19:54,98394.0,True,f,465.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1187,Rasmus MELLERUP,DK,40,H,40-44M,,https://utmb.world/runner/5741941.rasmus.mellerup,489.0,151.0,125.0,21.0,15:13:21,54801.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1230,Martijn DUCHATEAU,BE,29,H,20-34M,,https://utmb.world/runner/5780426.martijn.duchateau,466.0,152.0,126.0,46.0,15:14:07,54847.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1210,Anders VEKVE,NO,52,H,50-54M,Dynafit,https://utmb.world/runner/3449729.anders.vekve,478.0,153.0,127.0,12.0,15:18:13,55093.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,399,Igor ČUHEL,CZ,36,H,35-39M,,https://utmb.world/runner/2114993.igor.cuhel,455.0,154.0,135.0,30.0,27:22:11,98531.0,True,f,464.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1208,Peter BLECKERT,SE,61,H,60-64M,Uppsala LK,https://utmb.world/runner/5063049.peter.bleckert,479.0,154.0,128.0,3.0,15:18:44,55124.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,212,Matthieu BERTHION,FR,45,H,45-49M,,https://utmb.world/runner/163516.matthieu.berthion,518.0,155.0,136.0,26.0,27:22:49,98569.0,True,f,464.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1278,Tanja WESTMAN,FI,52,F,50-54W,,https://utmb.world/runner/1390977.tanja.westman,442.0,155.0,27.0,3.0,15:19:21,55161.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,275,Patrik BJERNINGE,SE,42,H,40-44M,,https://utmb.world/runner/5292131.patrik.bjerninge,496.0,156.0,137.0,29.0,27:24:31,98671.0,True,f,463.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1255,Tommy SVENBLAD,SE,42,H,40-44M,,https://utmb.world/runner/5470449.tommy.svenblad,454.0,156.0,129.0,22.0,15:20:00,55200.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,315,Hedvig ORVENHOLT,SE,30,F,20-34W,Hedou running,https://utmb.world/runner/6770683.hedvig.orvenholt,482.0,157.0,20.0,5.0,27:34:50,99290.0,True,f,460.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1058,Johannes WINGER-LANG,SE,34,H,20-34M,Vegan Runners IK,https://utmb.world/runner/2211257.johannes.wingerlang,591.0,157.0,130.0,47.0,15:21:10,55270.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,726,Markus ÅHRMAN,SE,49,H,45-49M,Strömstad löparklubb,https://utmb.world/runner/6770779.markus.ahrman,,158.0,138.0,27.0,27:34:51,99291.0,True,f,460.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1272,Frederik HOUBRECHTS,BE,30,H,20-34M,,https://utmb.world/runner/6324700.frederik.houbrechts,445.0,158.0,131.0,48.0,15:21:40,55300.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,171,Henrik SVANHOLT,DK,51,H,50-54M,Tik løberne,https://utmb.world/runner/5750505.henrik.svanholt,535.0,159.0,139.0,21.0,27:49:37,100177.0,True,f,456.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1292,Ulrich KIM PETERSEN,DK,47,H,45-49M,Braunstein Running Club,https://utmb.world/runner/417710.ulrich.kimpetersen,436.0,159.0,132.0,19.0,15:22:23,55343.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,659,Niklas KARLSSON,SE,50,H,50-54M,,https://utmb.world/runner/508239.niklas.karlsson,,160.0,140.0,22.0,27:49:38,100178.0,True,f,456.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1153,Juan Pablo ORTIZ JIMENEZ,SE,59,H,55-59M,,https://utmb.world/runner/3277817.juanpablo.ortizjimenez,510.0,160.0,133.0,3.0,15:23:48,55428.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,309,Elise Sangolt HEDÄLV,NO,49,F,45-49W,,https://utmb.world/runner/532553.elisesangolt.hedalv,484.0,161.0,21.0,4.0,27:58:01,100681.0,True,f,454.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1381,Jesper GARPENHAG,SE,32,H,20-34M,,https://utmb.world/runner/5470427.jesper.garpenhag,378.0,161.0,134.0,49.0,15:24:01,55441.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,455,Jill WAKE,SE,44,F,40-44W,Wakes Funrun,https://utmb.world/runner/5504625.jill.wake,434.0,162.0,22.0,4.0,28:02:14,100934.0,True,f,453.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1598,Yoann REGNAULT,FR,32,H,20-34M,,https://utmb.world/runner/5056347.yoann.regnault,,162.0,135.0,50.0,15:24:54,55494.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,418,Patrik RUNG,SE,47,H,45-49M,,https://utmb.world/runner/492295.patrik.rung,447.0,163.0,141.0,28.0,28:02:15,100935.0,True,f,453.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1134,Samuli TIIRIKAINEN,FI,51,H,50-54M,Keski-Karjalan Rasti,https://utmb.world/runner/990653.samuli.tiirikainen,524.0,163.0,136.0,13.0,15:25:26,55526.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,268,Jonas ANDERSSON,SE,40,H,40-44M,,https://utmb.world/runner/1619831.jonas.andersson,499.0,164.0,142.0,30.0,28:08:26,101306.0,True,f,451.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1200,Gunnar RUSTAN,NO,50,H,50-54M,Vestfold Ultraløperklubb,https://utmb.world/runner/3282411.gunnar.rustan,479.0,164.0,137.0,14.0,15:26:03,55563.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1218,Jamie HUGHES,GB,51,H,50-54M,Runfree fell runners,https://utmb.world/runner/4570482.jamie.hughes,473.0,164.0,137.0,14.0,15:26:03,55563.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,301,Jens ERIKSSON,SE,57,H,55-59M,Umara Sports Club,https://utmb.world/runner/4193361.jens.eriksson,487.0,165.0,143.0,5.0,28:12:33,101553.0,True,f,450.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,287,Camilla ALMSTEDT MALMGREN,SE,43,F,40-44W,,https://utmb.world/runner/4301449.camilla.almstedtmalmgren,490.0,166.0,23.0,5.0,28:12:34,101554.0,True,f,450.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1477,Jakob HJORTHAGEN,SE,48,H,45-49M,IS Göta,https://utmb.world/runner/6770689.jakob.hjorthagen,,166.0,139.0,20.0,15:26:57,55617.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,84,Kalle GÖRANSSON,SE,30,H,20-34M,Häradsbäcks IF,https://utmb.world/runner/6770757.kalle.goransson,584.0,167.0,144.0,26.0,28:12:35,101555.0,True,f,450.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1164,Taina VIINISALO,FI,48,F,45-49W,,https://utmb.world/runner/4024307.taina.viinisalo,503.0,167.0,28.0,7.0,15:27:56,55676.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,497,Kristian WOLLERSJÖ,SE,56,H,55-59M,,https://utmb.world/runner/2576479.kristian.wollersjo,421.0,168.0,145.0,6.0,28:12:46,101566.0,True,f,450.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1173,Anders DAVIDSSON,SE,45,H,45-49M,Hestra IF,https://utmb.world/runner/5479320.anders.davidsson,515.0,168.0,140.0,21.0,15:28:04,55684.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1133,Peder HALLBERG,SE,47,H,45-49M,Salomon Sverige / Bergspring SC,https://utmb.world/runner/1858371.peder.hallberg,559.0,168.0,140.0,21.0,15:28:04,55684.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,141,Mikkel THILO,DK,39,H,35-39M,Brothers on the run,https://utmb.world/runner/5574560.mikkel.thilo,546.0,169.0,146.0,31.0,28:24:16,102256.0,True,f,447.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,420,Baptiste MENEAU,FR,22,H,20-34M,EMA Trail,https://utmb.world/runner/6621206.baptiste.meneau,447.0,170.0,147.0,27.0,28:24:25,102265.0,True,f,447.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1254,Ashley BOULTON,GB,33,H,20-34M,Trail Blazin Mullets,https://utmb.world/runner/6950151.ashley.boulton,454.0,170.0,142.0,51.0,15:29:52,55792.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,416,Salla LAIHO,FI,43,F,40-44W,Team Rainbow Vertti-Tonnikala,https://utmb.world/runner/2092355.salla.laiho,448.0,171.0,24.0,6.0,28:26:51,102411.0,True,f,446.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1289,Mukir GLUHIC,BA,60,H,60-64M,100 Marathon Club,https://utmb.world/runner/2346219.mukir.gluhic,438.0,171.0,143.0,4.0,15:32:49,55969.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,602,Nicolas RISTOJA,FI,35,H,35-39M,,https://utmb.world/runner/4715798.nicolas.ristoja,377.0,172.0,148.0,32.0,28:26:52,102412.0,True,f,446.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1182,Tage RØSTEN,NO,54,H,50-54M,Hell Ultraløperklubb,https://utmb.world/runner/3985529.tage.rosten,491.0,172.0,144.0,16.0,15:33:37,56017.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,532,Mads EBBENSGAARD,DK,39,H,35-39M,TNF,https://utmb.world/runner/5743849.mads.ebbensgaard,409.0,173.0,149.0,33.0,28:31:47,102707.0,True,f,445.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1167,Bastien DELHOMMEAU,FR,32,H,20-34M,ABV MONTAIGU,https://utmb.world/runner/4750162.bastien.delhommeau,502.0,173.0,145.0,52.0,15:34:40,56080.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1172,Samuel CLENET,FR,31,H,20-34M,Abv Montaigu,https://utmb.world/runner/6770455.samuel.clenet,500.0,173.0,145.0,52.0,15:34:40,56080.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,264,Dan NYKVIST,SE,50,H,50-54M,Arvika,https://utmb.world/runner/4484372.dan.nykvist,500.0,174.0,150.0,23.0,28:32:20,102740.0,True,f,445.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,324,Anton PÅLSSON,SE,41,H,40-44M,,https://utmb.world/runner/4253285.anton.palsson,481.0,175.0,151.0,31.0,28:36:43,103003.0,True,f,444.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1242,Grayson WEBB,SE,32,H,20-34M,,https://utmb.world/runner/4716588.grayson.webb,461.0,175.0,147.0,54.0,15:36:10,56170.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,440,Adrian GROSICKI,PL,36,H,35-39M,,https://utmb.world/runner/4365668.adrian.grosicki,439.0,176.0,152.0,34.0,28:38:10,103090.0,True,f,443.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1130,Otto BLOMGÅRD,SE,22,H,20-34M,,https://utmb.world/runner/6777583.otto.blomgard,526.0,176.0,148.0,55.0,15:38:02,56282.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,764,Sandra MARINILLI,SE,51,F,50-54W,,https://utmb.world/runner/5439890.sandra.marinilli,,177.0,25.0,8.0,28:38:33,103113.0,True,f,443.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1329,Jaroslaw WISNIEWSKI,PL,54,H,50-54M,Syderosen FK,https://utmb.world/runner/1629107.jaroslaw.wisniewski,416.0,177.0,149.0,17.0,15:38:04,56284.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,385,Anu KÄHKÖNEN,FI,43,F,40-44W,Puijon Mahti,https://utmb.world/runner/4898084.anu.kahkonen,459.0,178.0,26.0,7.0,28:43:21,103401.0,True,f,442.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1128,Valentijn PUNT,NL,39,H,35-39M,,https://utmb.world/runner/3334009.valentijn.punt,527.0,178.0,150.0,27.0,15:38:26,56306.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,409,Rasmus LARSEN,DK,36,H,35-39M,,https://utmb.world/runner/4823426.rasmus.larsen,453.0,179.0,153.0,35.0,28:44:17,103457.0,True,f,442.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1267,Anna HILLGREN,FI,45,F,45-49W,Team Raju,https://utmb.world/runner/4583306.anna.hillgren,449.0,179.0,29.0,8.0,15:39:50,56390.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,471,Carl-Johan DÖMSTEDT,SE,46,H,45-49M,Surahammars SOK,https://utmb.world/runner/4681798.carljohan.domstedt,429.0,180.0,154.0,29.0,28:48:51,103731.0,True,f,441.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1223,Sanna ÖSTERBERG,SE,48,F,45-49W,,https://utmb.world/runner/5137180.sanna.osterberg,468.0,180.0,30.0,9.0,15:41:32,56492.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,356,Henrik RYE,SE,50,H,50-54M,Klubb sisu multisport och triathlon,https://utmb.world/runner/4527930.henrik.rye,468.0,181.0,155.0,24.0,28:49:19,103759.0,True,f,441.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1265,Alexander HÄGGLUND,SE,31,H,20-34M,,https://utmb.world/runner/6461378.alexander.hagglund,451.0,181.0,151.0,56.0,15:44:11,56651.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,464,Anton EK,SE,38,H,35-39M,Ljungby Donkey Athletes ,https://utmb.world/runner/4823436.anton.ek,432.0,182.0,156.0,36.0,28:49:20,103760.0,True,f,441.0
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,311,Sean KELLY,GB,46,H,45-49M,Cheviot Trail Runners,https://utmb.world/runner/4168445.sean.kelly,484.0,182.0,156.0,30.0,28:49:20,103760.0,True,f,441.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1203,Gaëtan JANNEQUIN,FR,27,H,20-34M,,https://utmb.world/runner/4381582.gaetan.jannequin,480.0,182.0,152.0,57.0,15:44:33,56673.0,True,f,
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1516,Isak INGVARSSON,SE,28,H,20-34M,Taco Running Club,https://utmb.world/runner/6770643.isak.ingvarsson,,183.0,153.0,58.0,15:46:18,56778.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,361,Nicklas LARSSON,SE,55,H,55-59M,Hjorthagen Ultra,https://utmb.world/runner/4383934.nicklas.larsson,465.0,184.0,158.0,7.0,28:49:25,103765.0,True,f,441.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1123,Hugo WILLNER,SE,24,H,20-34M,Fly U Fools,https://utmb.world/runner/6770547.hugo.willner,531.0,184.0,154.0,59.0,15:48:14,56894.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,702,Martin BURTON,GB,51,H,50-54M,,https://utmb.world/runner/569300.martin.burton,,185.0,159.0,25.0,28:50:14,103814.0,True,f,440.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1206,Tobias DEMKER,SE,49,H,45-49M,,https://utmb.world/runner/57419.tobias.demker,479.0,185.0,155.0,23.0,15:48:30,56910.0,True,f,
Kullamannen by UTMB® 2025 - Ultra 100 Miles,173,2300,2300,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100M.csv,246,Ludvig DICKMAN,SE,39,H,35-39M,Åkersberga SK,https://utmb.world/runner/4536729.ludvig.dickman,504.0,186.0,160.0,37.0,28:55:59,104159.0,True,f,439.0
Kullamannen by UTMB 2025 - Sprint Ultra 100km,108,749,749,2025-10-31,https://live.utmb.world/kullamannen/2025,kullamannen_2025_100k.csv,1506,Jonas FORSBERG,SE,43,H,40-44M,Mullvadarna,https://utmb.world/runner/6770633.jonas.forsberg,,186.0,156.0,23.0,15:50:12,57012.0,True,f,
